Dish,Ingredients,Method,Link
hot-honey harissa chickpea salad,"2 450g can chickpeas, drained & rinsed
1 bunch tuscan kale, deveined and rough chopped
1 pint cherry tomatoes, diced
1 medium orange bell pepper, diced
1 large cucumber, diced
6 oz feta cheese, diced (optional)
1/2 bunch parsley, minced (optional)
1-2 tbsp sesame seeds (optional)
Hot-Honey Harissa Dressing, to taste

Dressing
6 tbs harissa. 
1 Tbs olive oil. 
1 Tbs honey. 
Zest and juice of half lemon. 
3tbs water to thin out. 
1 tsp kosher salt. 
1/2 tsp pepper",,https://www.tiktok.com/@mishkamakesfood/video/7448290730751118623?_r=1&_t=ZS-8t12tdfvS3r
Creamy butter beans,"1 jar (570g) butter beans + the bean stock
2 cloves of garlic
1 tbsp olive oil
10 cherry tomatoes
1 tsp dried basil
1 lemon
1 tsp salt
1 tsp black pepper
2 tbsp cream cheese
1 handful (30g) chopped spinach
","Instructions
Heat the oil in a saucepan, then add your minced garlic and saute for 1 minutes until fragrant.
Add the butter beans and their stock to the pan, along with the tomatoes, dried basil, salt, and pepper.
Let everything come to a boil, then turn down the heat and simmer for 10 - 15 minutes until the sauce has thickened and the tomatoes have softened. Use the back of your spoon to gently crush the tomatoes.
Add the cream cheese and chopped spinach, and stir it into the beans. Squeeze over the lemon juice.
For a little hint of spice, top with chili oil and lots of fresh parsley!
Notes
The stock water from the jarred beans helps to make these beans creamy, so I would highly recommend using beans from the jar if you can. If you can only use dried or tinned beans, substitute the stock water with 0.5 cups of water or vegetable stock instead.

I use a whole lemon for the juice for this recipe, nut use half a lemon if you don't want the beans to be as tangy!

Store your butter beans in an airtight container in the refrigerator for 3 - 5 days. Reheat them in the microwave before serving.",https://www.bytheforkful.com/creamy-butter-beans/
broccoli muffins,"4 broccoli florets, finely chopped
1 cup of sweetcorn
3 spring onions, chopped
6 eggs
200g cottage cheese
1 cup self raising flour

","METHOD
Preheat oven to 180c
In a bowl mix together all the ingredients
Pour into a prepared muffin tray
Top with cheese (optional)
Bake for 15-20 minutes",https://www.tiktok.com/@doctorbowl/video/7459133099746659617?_r=1&_t=ZS-8t12099PEPQ
Mthawamet bandora,"4 ripe tomatoes
1 whole garlic
3 tbsp plain yoghurt
salt
olive oil",,https://www.instagram.com/reel/DEPP1WssvRC/?igsh=bG15b2swNDVsaDdt
Beetroot pasta,"- 1/2tbsp olive oil
- 1 Red Onion
- 2 Pre-Cooked Beetroot
- 1/2 Block Feta or Salad Cheese
- salt & pepper
- 1tsp mixed herbs
- 1 garlic clove
- 300g pasta",,https://www.tiktok.com/@dishesbydaisy/video/7327409556034833696?lang=en
Kale Salad,"For the dressing:
1/4 cup olive oil
2 tablespoons fresh lemon juice
2 tablespoons balsamic vinegar
1/2 teaspoon Dijon mustard
1 to 2 teaspoons honey
Kosher salt and freshly ground black pepper, to taste
For the salad:
2 bunches kale, washed (I prefer Lacinato kale)
Drizzle of olive oil
Pinch of kosher salt
1/2 cup finely shredded Parmesan cheese
1/3 cup toasted sliced almonds, can use pine nuts or pepitas
1/3 cup dried cranberries, can use golden raisins or dried currants",,https://www.twopeasandtheirpod.com/simple-kale-salad/#wprm-recipe-container-63963
Broccoli pasta,"-2 broccoli
- 300ml cream
- 100g pasta per person
- 50g grated cheese
- olive oil
- salt, pepper, chilli flakes",,https://www.tiktok.com/@dishesbydaisy/video/7270622996203703584?lang=en
Creamy Butter Bean Gnocchi,"- 1 large onion
- 3 cloves garlic
- 2 tins butter beans
- 1 tbspn tomato puree
- 500g gnocchi
- italian / paprika spices
- olive oil
- salt
- 1/2 tin tomato
- 200mL cream
- handful of veggies",,https://www.tiktok.com/@dishesbydaisy/video/7284339585063341345?lang=en
Hot Honey Halmoumi,"- haloumi
- 2 tbspn honey
- paprika
- chilli flakes",,https://www.tiktok.com/@dishesbydaisy/video/7243874712252665114?lang=en
Tofu salad bowl,"TOFU + marindade:
- 14–16 ounce block of tofu
2 tablespoons of olive oil
3 tablespoons of balsamic vinegar
2 tablespoons of water
2 tablespoons of maple syrup
2 cloves of garlic minced
1/4 teaspoon of salt

Salad dressing:
1/4 cup of lemon juice
1/4 cup olive oil
1 garlic clove, minced
1 teaspoon of dijon mustard
1 teaspoon of maple syrup or honey
2 tablespoons of fresh herbs 4-6 large basil leaves, very finely diced
Freshly ground salt and black pepper, to taste",,https://foodwithfeeling.com/tofu-salad/
Parmesan Roasted Carrot Salad,"Salad
3 large carrots, cut into 1-inch slices
1 (15.5 oz) can chickpeas, rinsed and drained
1 tsp olive oil
Seasonings (I used onion salt, cumin, and aleppo pepper)
3/4 cup grated Parmesan cheese
4 cups arugula
1 cup quartered cherry tomatoes (I used yellow)
1/2 cup thinly sliced red onions
1 cup roughly chopped roasted red pepper (I used jarred)

Dressing
2 tbsp Greek yogurt
Juice of 2 lemons
2 tbsp white wine or champagne vinegar
3 tbsp olive oil
1 tbsp roughly chopped dill
Pinch of salt and pepper",,https://www.goodmoodfood.news/p/parmesan-roasted-carrot-salad?utm_campaign=post&utm_medium=web
Cobb Salad,"1 package (6 ounces) falafel mix
1/2 cup sour cream or plain yogurt
1/4 cup chopped seeded peeled cucumber
1/4 cup 2% milk
1 teaspoon minced fresh parsley
1/4 teaspoon salt
4 cups torn romaine
4 cups fresh baby spinach
3 hard-boiled large eggs, chopped
2 medium tomatoes, seeded and finely chopped
1 medium ripe avocado, peeled and finely chopped
3/4 cup crumbled feta cheese
8 bacon strips, cooked and crumbled
1/2 cup pitted Greek olives, finely chopped",,https://www.tasteofhome.com/recipes/mediterranean-cobb-salad/
Caramelised onion pasta,"1 tbsp olive oil, or water
2 yellow onions, thinly sliced
4 cloves garlic, minced
6 sun-dried tomatoes, chopped
½ tsp salt
1 tbsp fresh thyme
½ cup dry white wine
1 cup pasta water
340 g pasta
½ cup cream, or vegan cream
1 handful spinach
 salt and pepper, to taste",,https://plantyou.com/caramelized-onion-sun-dried-tomato-pasta/
Lentil spinach soup,"5 tbsp olive oil, plus extra for serving
1 onion, peeled and diced
1 stick of celery, trimmed and diced
1 carrot, peeled and diced
1 small whole fresh or dried red chilli
A couple of rosemary sprigs
1 medium potato, peeled and diced
300g small brown lentils
300g spinach leaves
Salt and black pepper
Grated parmesan, for serving",,https://www.theguardian.com/food/2025/jan/06/lentil-spinach-soup-recipe-rachel-roddy
Roasted tomato soup,"2 pounds mixed tomatoes
1 large white onion, roughly chopped
1 tablespoon minced fresh rosemary
1 tablespoon minced thyme leaves
1 head garlic, end trimmed
1 lemon, halved
2 tablespoons extra-virgin olive oil
1 cup hot veggie stock
1 tablespoon honey
1 tablespoon red wine vinegar
1/4 cup heavy cream
½ cup fresh basil leaves
1 - 2 large balls of burrata
1/2 cup your favourite pesto
Your favorite crusty breast, to serve
Sea salt and cracked black pepper",,"https://www.tiktok.com/@dennistheprescott/video/7265061448127106309

https://www.youtube.com/watch?v=wg-KowGfKdw&ab_channel=DennisThePrescott"
Sweet potato noodle soup,"1 sweet potato
1 Tbsp olive oil
0.5 brown onion
1 Clove Garlic
2 cups vegetable broth
1 x 400ml can full-fat coconut milk
2 Tbsp tomato paste
3 Tbsp yellow curry paste
pinch salt
pinch pepper
1 x 400g can butter beans
100g vermicelli noodles",,https://app.samsungfood.com/recipes/10701919ae6017570808d713646865d43f6
Cheesy garlic and zucchini pasta,"1 Tbsp olive oil
3 zucchinis
0.5 brown onion
1 head garlic - top chopped off to reveal cloves
½ cup sunflower seeds
0.5 juice of lemon
100g frozen spinach -cooked
⅓ cup water
0.25 Cup Nutritional Yeast
500g pasta
pinch salt
pinch pepper",,https://app.samsungfood.com/recipes/107018f30ea8e3778cf984f5c6515c03649
Turkish chickpea salad,"For the Chickpeas
4 tablespoon olive oil, divided
15 oz chickpeas, cooked, drained and rinsed*
1 teaspoon garam masala
1 teaspoon smoked paprika
½ teaspoon ground cinnamon
½ teaspoon salt
¼ teaspoon turmeric
¼ teaspoon ground cloves
¼ teaspoon black pepper, more or less to taste

For the Vegetables
1 sweet onion, thinly sliced
4 cloves garlic, minced
1 red pepper, thinly sliced
2 tablespoon sun dried tomatoes in oil, finely chopped
1 tablespoon sumac
½ teaspoon salt
1 tablespoon red wine vinegar
½ teaspoon chili powder
½ teaspoon cumin
½ teaspoon vegan sugar, optional
1 cup red cabbage, chopped
1 cup cilantro, chopped (sub with parsley if needed)
5-6 fresh basil leaves, choped
2 tablespoon fresh lemon juice",,https://makeitdairyfree.com/turkish-chickpea-salad/#recipe
Smashed brussel sprout + potato salad,"-baby potatoes (around 500-600g)
-brussel sprouts (around 500-400g)
-1 tsp dried basil/oregano/thyme
-1 tsp garlic + onion powder
-1/2 tsp smoked paprika
-1/4 tsp white pepper
-2 tbsp nutritional yeast *optional*
-plenty of olive oil, salt n pepper

-few tbsp vegan mayo
-few tbsp vegan yoghurt
-juice of 1/2 lemon
-bunch fresh parsley
-bunch fresh chives
-Crispy onions",,https://www.instagram.com/jacobking/reel/DDFSxfKonqD/
Green goddess salad,"For the green sauce
Handful of fresh spinach
1/2 bunch chives (approx. 10g)
Handful of fresh basil leaves
Handful of fresh parsley
2 spring onions (sliced)
60g cashew nuts
good pinch of sea salt
1 medium avocado (sliced)
1 large garlic clove (crushed)
Juice from 1 lemon
60ml extra-virgin olive oil
150ml water (& extra)

For the rest
1 medium cucumber (finely diced)
1 small white cabbage (diced)
250g cooked quinoa
3 spring onions (finely sliced)",,https://vm.tiktok.com/ZNeoXhbDS/
Cheesecake,"450g cream cheese
250ml sweetended condensed milk
1/3 cup lemon
2 teaspoons vinegar
250ml cream
340g biscuits
170g butter",,
harissa potatoes,"Serves 4 as a side
1 medium Japanese sweet potato, diced
2 1/2 tbsp olive oil, divided
Pinch of salt & pepper
1 1/2 cups full-fat Greek yogurt
2 cloves garlic, minced
Pinch of salt
5 Medjool dates
2 tbsp unsalted butter
1 tbsp harissa sauce
1 tbsp roughly chopped parsley
1 tbsp roughly chopped dill
1-2 tbsp pomegranate seeds",,https://www.goodmoodfood.news/p/harissa-butter-japanese-sweet-potatoes?utm_campaign=post&utm_medium=web
Chicken rice and mega greens mega bowl with tzatziki,"⅓ cup (80ml) extra virgin olive oil, plus 1 tablespoon extra
1 clove garlic, crushed
2 x 250g (8oz) packets microwave brown rice
600 grams brussels sprouts, trimmed, halved
60 grams baby kale leaves
1 teaspoon smoked paprika
600 grams chicken breast fillets
2 medium avocados (500g), halved
⅓ cup (65g) pepitas (pumpkin seed kernels), toasted

Tzatziki
2 lebanese cucumbers (340g), seeded, grated coarsely
½ teaspoon sea salt flakes
1 cup (280g) greek yoghurt
1 small clove garlic, crushed
3 teaspoons lemon juice
1½ tablespoons finely chopped fresh dill, plus extra Sprigs to serve",,
Creamy Spinach & Zingy Bean-y Bowl,"2 spring onions (or 1 small white onion), chopped
1/2 thumb-sized piece fresh ginger, peeled and grated
2 garlic cloves, peeled and grated
250g frozen spinach
570g can cannellini/white beans, drained (400g drained weight)
200g frozen edamame beans
200ml (3/4 cup + 1 tbsp) vegetable stock
120ml (1/2 cup) soy milk
1 tbsp white miso paste
3 tbsp nutritional yeast
Juice of 1/2 lemon
• Extra virgin olive oil, salt to taste

Toppings:
• Extra virgin olive oil (EVOO)
• basil
• black pepper
• whole grain bread",,https://www.instagram.com/p/DCbPeQugWhN/?hl=en
Moroccan-Spiced Nourish Bowl,"Cauliflower and chickpeas:
1 head of cauliflower, cut into small florets (roughly 3 cups)
420g can chickpeas, drained, rinsed and pat dry
Drizzle of olive oil to coat it all
2 tsp ground turmeric
3 tsp ground paprika
3 tsp ground cumin
1/2 tsp ground coriander
2 tsp garlic powder
1/4 tsp cinnamon
1/4 tsp cayenne
Generous pinch of salt and pepper

Tahini: (or just swap for hummus instead)
1/2 cup hulled tahini
Juice from 1 lemon
1 tbsp agave or maple syrup
Pinch of salt and pepper
Water to thin (3-4 tbsp roughly)

Couscous:
1/2 cup dry couscous
3/4 cup boiling water or vegetable stock
1 tsp ground turmeric

Salad:
1 small red onion, finely diced
1 bunch of parsley, finely chopped (roughly 2-3 cups chopped)
1 cucumber, finely diced
1 medium tomato, finely diced
Juice from 1 small lemon
2 tsp olive oil
Pinch of salt and pepper",,https://www.instagram.com/reel/C--RVRbyyM-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
Green goddess gnocchi,"For the green goddess sauce –

A big handful of basil leaves
20g parmesan cheese (roughly 1/4 cup grated)
2 garlic cloves
2 teaspoons white miso paste
1 teaspoon fish sauce
1 tablespoon pickled jalapeno slices (optional)
1 tablespoon olive oil
1 tablespoon lemon juice
200g spinach leaves",,https://dishedbykate.com/cottage-cheese-gnocchi/
Clementine cake,"approx. 375 grams clementines (approx. 4)
6 large eggs
225 grams white sugar
250 grams ground almonds
1 teaspoon GF baking powder",,https://www.instagram.com/reel/DE4Mq7cICQG/?igsh=YmZubzd5dXR2czQ5
"Quinoa, corn, black bean salad","1 cup quinoa
1/4 cup finely chopped red onion
1 jalapeño, stemmed, seeded and finely chopped
3 tablespoons extra-virgin olive oil
2 tablespoons lime juice
1/2 teaspoon cumin
1 (15-ounce) can black beans, rinsed and drained
1 cup cooked corn kernels
1/4 cup chopped fresh cilantro leaves",,"Quinoa, Corn, and Black Bean Salad"
Spiced cauliflower and chickpea salad w pomegranate,"1 small head cauliflower
3 tablespoons regular olive oil
½ teaspoon ground cinnamon
2 teaspoons cumin seeds
250 grams home-cooked chickpeas
2 tablespoons harissa paste
4 smallish ripe vine tomatoes (approx. 150g total)
4 tablespoons pomegranate seeds
large bunch fresh flatleaf parsley (approx.100g/2 1/2 cups)",,https://www.nigella.com/recipes/warm-spiced-cauliflower-and-chickpea-salad-with-pomegranate-seeds
Spicy tuna rice bowl,"SUSHI RICE
2 cups sushi rice, uncooked
3 cups tap water, cold
¼ cup rice vinegar
2 tsp white sugar
¼ tsp cooking salt
CREAMY SPICY TUNA TOPPING
425g canned tuna in oil, drained (see note)
3 tbsp sriracha (see note)
4 tbsp kewpie mayonnaise, or whole-egg mayonnaise
1 tsp sesame oil
½ tsp cooking salt
¼ cup finely chopped spring onion, plus extra for garnish
2 tsp white sesame seeds
TOPPINGS
1 large avocado, halved, seed removed, peeled then finely sliced
6 baby cucumbers or 1 large cucumber, cut into thin rounds
pinch of white and black sesame seeds
pickled ginger, optional
2 tbsp nori, cut into long thin strips from 1 nori sheet, optional",,https://archive.ph/jzv1v#selection-775.0-899.66
Shakshuka with Feta,"Canned tomatoes, onions, garlic, eggs, jarred peppers.",,
Chickpea & Spinach Stew,"Canned chickpeas, frozen spinach, smoked paprika.",,
Roast chicken and veg,"Whole chicken, potato, carrot, onion, butter",,
